gene_id	DM1_DM2d_12DAS_Shoot_1	DM1_DM2d_12DAS_Shoot_2	DM1_DM2d_12DAS_Shoot_3	Col-0_12DAS_Shoot_1	Col-0_12DAS_Shoot_2	DM6_DM7_Shoot_14DAS_1	DM6_DM7_Shoot_14DAS_2	DM6_DM7_Shoot_14DAS_3	Col-0_Shoot_14DAS_1	Col-0_Shoot_14DAS_2	Col-0_Shoot_14DAS_3	DM1_DM2d_adr1s_1	DM1_DM2d_adr1s_2	DM1_DM2d_adr1s_3	DM6_DM7_adr1s_1	DM6_DM7_adr1s_2	DM6_DM7_adr1s_3	Col-0_adr1s_1	Col-0_adr1s_2	Col-0_adr1s_3
AT1G30814	90	129	96	4	0	71	158	78	0	0	6	0	4	4	33	49	82	2	0	0
AT1G78930	209	111	168	402	462	383	372	410	369	331	227	208	271	275	319	331	281	266	273	291
AT1G71695	1568	1412	1578	10440	12570	4176	2848	4118	13325	13770	16683	6796	5916	6481	5659	5402	4314	6129	4981	5672
AT1G58983	18	9	9	7	4	29	28	35	32	36	17	55	51	51	86	61	48	47	45	56
AT1G12980	6	6	22	13	2	20	29	30	4	0	8	16	23	17	26	45	43	10	22	18
AT1G45223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G56250	308	185	328	201	603	152	50	109	80	36	35	55	30	30	94	178	281	21	40	49
AT1G66852	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G69810	664	603	550	117	131	836	1606	1158	199	113	106	140	175	180	89	128	126	55	22	65
AT1G72450	4899	4077	4207	3987	2970	7472	6501	6921	6953	8467	6937	4100	2622	2574	1946	2680	2551	5548	4369	5144
AT1G76280	1169	1118	1279	1561	1659	1229	1703	1207	1814	1588	1041	1363	1268	1164	1342	1100	1213	1156	1193	1298
AT1G65630	0	0	2	15	0	0	6	0	0	30	0	6	6	4	26	12	13	20	10	12
AT1G71390	155	222	227	36	0	1131	1202	1536	4	77	22	130	85	145	266	455	636	0	0	0
AT1G56233	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G15210	365	327	248	104	72	133	186	142	108	114	104	181	199	139	202	181	169	156	112	109
AT1G15250	635	631	771	706	724	1755	1818	1509	1948	1997	982	926	809	800	1100	952	852	1178	1006	1058
AT1G79700	352	330	330	446	585	944	840	864	471	688	1035	408	384	292	649	812	430	791	677	803
